Number_1,Number_2,Number_3,Number_4,Number_5,Joker
1,3,8,37,45,18
6,8,16,19,24,7
2,3,23,34,39,8
1,14,22,25,28,18
3,8,14,31,44,9
4,20,25,40,45,18
1,14,16,29,34,17
20,26,27,29,34,1
13,16,27,31,42,7
2,3,26,35,41,17
8,29,34,42,43,16
8,25,32,39,40,2
20,23,24,40,42,4
3,4,19,20,30,11
9,30,36,37,44,12
4,15,35,39,44,12
1,6,26,34,38,4
5,20,24,31,43,2
1,4,35,40,43,3
2,8,11,18,22,1
4,24,30,37,43,7
5,8,9,15,45,9
7,24,27,31,42,5
16,29,33,39,43,7
23,29,32,37,42,16
4,29,30,38,44,18
2,17,30,38,43,15
18,29,32,35,40,5
18,21,35,39,44,9
22,24,25,29,32,2
2,5,11,15,30,2
8,12,28,30,44,8
4,16,31,35,43,13
19,23,30,31,43,11
20,21,31,42,44,11
15,30,32,37,40,15
8,10,28,43,45,6
30,37,42,43,45,7
9,10,11,15,18,10
18,22,31,42,44,2
12,28,33,36,43,15
5,7,26,33,41,16
31,32,35,37,39,9
7,12,17,28,35,11
14,22,28,41,45,8
12,18,34,39,40,20
6,13,15,31,39,13
5,17,30,32,37,9
13,23,33,35,40,15
18,27,32,39,43,19
5,16,29,35,40,16
3,18,21,32,34,4
11,29,30,39,40,18
1,13,27,37,42,19
5,11,23,32,35,19
4,15,26,27,32,16
7,19,20,22,31,9
13,22,29,34,44,3
11,18,20,40,44,1
14,15,16,28,34,11
6,10,23,37,39,17
1,15,22,29,36,15
1,14,16,17,24,6
11,15,18,29,34,11
5,19,37,41,43,5
19,22,27,30,45,15
3,5,7,26,44,13
15,26,33,38,39,18
3,13,14,22,30,18
5,29,30,33,38,9
8,20,21,34,37,12
8,10,17,20,34,19
16,28,30,36,40,13
4,15,24,28,41,12
10,13,17,22,33,2
8,24,25,27,45,8
7,10,23,24,28,3
10,16,28,33,43,17
7,27,28,34,36,9
7,16,18,37,43,11
6,13,28,36,44,2
11,19,27,39,41,3
5,28,30,32,33,1
6,16,19,27,30,4
4,5,13,34,44,12
6,19,26,30,40,3
11,16,19,21,24,16
4,25,26,28,40,20
1,6,8,22,35,9
6,9,17,28,38,4
5,15,30,40,42,15
4,22,23,27,28,3
4,8,9,27,36,11
3,10,16,28,41,7
13,22,38,43,44,16
12,30,40,42,45,8
1,17,19,23,30,15
22,31,35,38,42,10
4,9,17,21,25,19
3,7,12,31,32,11
27,30,35,36,44,11
10,11,21,24,40,20
1,5,17,19,30,16
14,17,25,28,35,16
3,6,20,33,43,20
1,5,20,36,37,6
3,23,26,38,45,9
17,28,29,33,34,15
19,25,30,31,33,19
6,15,18,20,39,20
1,9,14,29,31,18
1,2,14,26,28,18
8,14,28,30,40,13
21,26,29,37,42,15
3,7,18,39,45,5
5,6,10,28,40,9
5,7,17,28,31,17
17,27,28,39,43,12
17,21,32,33,37,2
8,14,23,36,43,18
15,16,18,20,24,5
10,12,13,21,41,19
11,15,18,22,41,5
7,10,22,28,45,5
1,3,18,24,28,8
9,10,11,31,38,6
3,11,24,39,41,9
9,13,22,38,43,8
2,13,22,31,41,10
11,24,35,38,45,12
22,26,29,39,41,16
5,11,29,40,45,18
8,17,33,40,41,17
12,27,38,43,45,7
8,10,16,26,33,10
15,29,31,36,41,5
20,23,27,36,37,12
2,4,16,26,31,10
2,21,25,28,37,16
6,31,32,37,45,19
7,10,23,27,42,11
4,9,11,21,33,5
1,17,21,34,40,20
15,20,22,25,34,10
4,8,11,33,41,18
29,34,37,41,43,7
2,35,38,40,42,13
21,24,28,34,39,1
19,23,37,40,41,19
3,33,37,41,44,9
11,14,25,26,40,7
5,11,20,37,42,7
7,30,32,34,43,1
2,7,15,18,21,2
3,8,37,38,40,15
19,20,32,34,35,9
12,19,20,36,43,14
7,9,13,39,44,6
7,14,19,25,28,20
5,6,12,20,22,19
10,26,32,34,36,16
9,27,28,42,43,12
3,6,10,23,35,8
9,17,20,23,24,10
5,7,11,18,41,20
24,30,32,35,42,19
3,5,6,8,22,16
9,16,17,23,45,5
23,29,32,40,45,13
3,14,24,28,43,19
5,6,8,19,33,1
13,23,25,29,32,9
2,20,31,32,41,20
4,7,20,27,32,4
1,10,19,31,45,9
17,31,36,41,44,5
6,8,16,31,37,12
7,14,21,24,42,13
2,5,16,17,37,8
17,20,32,37,44,18
2,17,32,35,41,17
5,18,26,31,41,1
12,18,24,35,36,10
12,22,29,32,41,2
18,23,28,34,40,19
4,7,24,37,38,13
19,25,28,34,42,12
14,19,32,33,43,8
8,18,23,37,42,18
16,27,30,43,44,19
18,27,35,41,45,18
12,14,16,31,38,19
3,5,10,21,41,14
6,19,25,29,35,11
1,2,7,15,26,11
23,25,34,35,37,2
2,12,18,31,36,1
9,16,23,24,41,14
7,8,20,42,45,13
5,11,37,42,44,2
11,14,20,36,37,3
6,17,27,34,35,4
9,15,27,30,45,3
6,10,23,38,40,20
8,17,28,36,44,15
5,16,20,31,33,17
7,14,16,26,30,6
